date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:14:02	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/11.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/11.6e.delayed	(from http://www.carquefou-football.com/le-club/le-mot-des-presidents.html)
17:14:02	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/7.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/7.6f.delayed	(from http://www.carquefou-football.com/le-club/organigramme-sportif.html)
17:14:02	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/22.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/22.70.delayed	(from http://www.carquefou-football.com/le-club/organigramme-sportif.html)
17:14:02	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/11.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/11.71.delayed	(from http://www.carquefou-football.com/le-club/organigramme-sportif.html)
17:14:02	36712/36712	---MC-	200	added ('OK')	application/atom+xml	date:Tue,%2031%20Jan%202017%2016:13:59%20GMT	http://www.carquefou-football.com/le-club/presentation.feed?type=atom	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/presentationb550.feed	(from http://www.carquefou-football.com/le-club/presentation.html)
17:14:02	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/7.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/7.74.delayed	(from http://www.carquefou-football.com/le-club/conseil-dadministration.html)
17:14:02	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/22.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/22.75.delayed	(from http://www.carquefou-football.com/le-club/conseil-dadministration.html)
17:14:02	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/11.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/11.76.delayed	(from http://www.carquefou-football.com/le-club/conseil-dadministration.html)
17:14:02	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/7.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/7.77.delayed	(from http://www.carquefou-football.com/le-club/les-arbitres.html)
17:14:03	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/22.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/22.78.delayed	(from http://www.carquefou-football.com/le-club/les-arbitres.html)
